"","Player","Country","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"1","KC Sangakkara (Asia/ICC/SL)",NA,2000,2015,404,397,501,402,19,383,99,5
"2","AC Gilchrist (AUS/ICC)",NA,1996,2008,287,286,472,417,0,417,55,6
"3","MS Dhoni (Asia/INDIA)",NA,2004,2019,350,345,444,321,0,321,123,6
"4","MV Boucher (Afr/SA)",NA,1998,2011,295,291,425,403,1,402,22,6
"5","Moin Khan ","Pakistan",1990,2004,219,217,287,214,0,214,73,5
"6","BB McCullum ","New Zealand",2002,2016,260,257,277,262,35,227,15,5
"7","IA Healy ","Australia",1988,1997,168,168,233,194,0,194,39,4
"8","Mushfiqur Rahim ","Bangladesh",2006,2020,218,217,225,181,2,179,44,5
"9","Rashid Latif ","Pakistan",1992,2003,166,164,220,182,0,182,38,5
"10","DPMD Jayawardene (Asia/SL)",NA,1998,2015,448,443,218,218,218,0,0,4
"11","R Dravid (Asia/ICC/INDIA)",NA,1996,2011,344,341,210,196,124,72,14,4
"12","RS Kaluwitharana ","Sri Lanka",1990,2004,189,188,207,132,1,131,75,5
"13","PJL Dujon ","West Indies",1981,1991,169,168,204,183,0,183,21,4
"14","JC Buttler ","England",2012,2019,142,138,202,171,0,171,31,6
"15","RD Jacobs ","West Indies",1996,2004,147,145,189,160,0,160,29,6
"16","Kamran Akmal ","Pakistan",2002,2017,157,154,188,157,1,156,31,5
"17","D Ramdin ","West Indies",2005,2016,139,137,188,181,0,181,7,5
"18","AB de Villiers (Afr/SA)",NA,2005,2018,228,223,181,176,83,93,5,5
"19","BJ Haddin ","Australia",2001,2015,126,124,181,170,0,170,11,5
"20","AJ Stewart ","England",1989,2003,170,169,174,159,11,148,15,6
"21","Q de Kock ","South Africa",2013,2020,121,116,173,164,0,164,9,6
"22","A Flower ","Zimbabwe",1992,2003,213,212,173,141,8,133,32,5
"23","DJ Richardson ","South Africa",1991,1998,122,121,165,148,0,148,17,5
"24","RT Ponting (AUS/ICC)",NA,1995,2012,375,372,160,160,160,0,0,3
"25","M Azharuddin ","India",1985,2000,334,332,156,156,156,0,0,4
"26","NR Mongia ","India",1994,2000,140,139,154,110,0,110,44,5
"27","BRM Taylor ","Zimbabwe",2004,2020,196,196,154,125,29,96,29,5
"28","T Taibu (Afr/ZIM)",NA,2001,2012,150,150,147,114,2,112,33,4
"29","AC Parore ","New Zealand",1992,2002,179,178,141,116,5,111,25,5
"30","Sarfaraz Ahmed ","Pakistan",2007,2019,116,114,140,116,0,116,24,6
"31","SR Tendulkar ","India",1989,2012,463,456,140,140,140,0,0,4
"32","LRPL Taylor ","New Zealand",2006,2020,232,228,139,139,139,0,0,4
"33","Younis Khan ","Pakistan",2000,2015,265,260,135,135,130,5,0,4
"34","SP Fleming (ICC/NZ)",NA,1994,2007,280,276,133,133,133,0,0,4
"35","JH Kallis (Afr/ICC/SA)",NA,1996,2014,328,324,131,131,131,0,0,3
"36","M Muralitharan (Asia/ICC/SL)",NA,1993,2011,350,347,130,130,130,0,0,3
"37","V Kohli ","India",2008,2020,248,246,128,128,128,0,0,3
"38","AR Border ","Australia",1979,1994,273,270,127,127,127,0,0,3
"39","Shahid Afridi (Asia/ICC/PAK)",NA,1996,2015,398,392,127,127,127,0,0,2
"40","Khaled Mashud ","Bangladesh",1995,2006,126,126,126,91,0,91,35,5
"41","TM Dilshan ","Sri Lanka",1999,2016,330,325,124,123,118,5,1,3
"42","CH Gayle (ICC/WI)",NA,1999,2019,301,294,124,124,124,0,0,3
"43","RW Marsh ","Australia",1971,1984,92,92,124,120,0,120,4,5
"44","ST Jayasuriya (Asia/SL)",NA,1989,2011,445,441,123,123,123,0,0,3
"45","CL Hooper ","West Indies",1987,2003,227,225,120,120,120,0,0,4
"46","BC Lara (ICC/WI)",NA,1990,2007,299,296,120,120,120,0,0,3
"47","L Ronchi (AUS/NZ)",NA,2008,2017,85,83,117,105,0,105,12,4
"48","MS Wade ","Australia",2012,2017,94,94,117,108,0,108,9,5
"49","Inzamam-ul-Haq (Asia/PAK)",NA,1991,2007,378,373,113,113,113,0,0,3
"50","SR Waugh ","Australia",1986,2002,325,324,111,111,111,0,0,3
"51","RS Mahanama ","Sri Lanka",1986,1999,213,212,109,109,109,0,0,3
"52","PD Collingwood ","England",2001,2011,197,197,108,108,108,0,0,3
"53","HH Gibbs ","South Africa",1996,2010,248,246,108,108,108,0,0,3
"54","SM Pollock (Afr/ICC/SA)",NA,1996,2008,303,300,108,108,108,0,0,2
"55","ME Waugh ","Australia",1988,2002,244,243,108,108,108,0,0,3
"56","MJ Clarke ","Australia",2003,2015,245,243,106,106,106,0,0,4
"57","MEK Hussey ","Australia",2004,2012,185,184,105,105,105,0,0,3
"58","JN Rhodes ","South Africa",1992,2003,245,242,105,105,105,0,0,5
"59","GC Smith (Afr/SA)",NA,2002,2013,197,196,105,105,105,0,0,4
"60","NJ O'Brien ","Ireland",2006,2018,103,99,104,90,8,82,14,5
"61","Saleem Yousuf ","Pakistan",1982,1990,86,86,103,81,0,81,22,4
"62","SK Raina ","India",2005,2018,226,223,102,102,102,0,0,3
"63","SC Ganguly (Asia/INDIA)",NA,1992,2007,311,309,100,100,100,0,0,3
"64","IVA Richards ","West Indies",1975,1991,187,186,100,100,100,0,0,3
"65","Shoaib Malik ","Pakistan",1999,2019,287,285,98,98,98,0,0,2
"66","CZ Harris ","New Zealand",1990,2004,250,247,96,96,96,0,0,4
"67","PA de Silva ","Sri Lanka",1984,2003,308,307,95,95,95,0,0,3
"68","HP Tillakaratne ","Sri Lanka",1986,2003,200,199,95,89,50,39,6,5
"69","Yuvraj Singh (Asia/INDIA)",NA,2000,2017,304,298,94,94,94,0,0,3
"70","SD Hope ","West Indies",2016,2020,78,75,93,83,0,83,10,5
"71","V Sehwag (Asia/ICC/INDIA)",NA,1999,2013,251,246,93,93,93,0,0,3
"72","MJ Guptill ","New Zealand",2009,2020,183,181,91,91,91,0,0,4
"73","Ijaz Ahmed ","Pakistan",1986,2000,250,249,90,90,90,0,0,3
"74","KS More ","India",1984,1993,94,93,90,63,0,63,27,5
"75","Umar Akmal ","Pakistan",2009,2019,121,119,90,77,32,45,13,5
"76","TWM Latham ","New Zealand",2012,2020,99,97,89,82,26,56,7,5
"77","Mohammad Shahzad ","Afghanistan",2009,2019,84,83,89,64,1,63,25,5
"78","DL Vettori (ICC/NZ)",NA,1997,2015,295,289,88,88,88,0,0,2
"79","Wasim Akram ","Pakistan",1984,2003,356,352,88,88,88,0,0,3
"80","HM Amla ","South Africa",2008,2019,181,176,87,87,87,0,0,4
"81","GW Flower ","Zimbabwe",1992,2010,221,220,86,86,86,0,0,2
"82","IDS Smith ","New Zealand",1980,1992,98,97,86,81,1,80,5,3
"83","A Kumble (Asia/INDIA)",NA,1990,2007,271,268,85,85,85,0,0,2
"84","Mohammad Hafeez ","Pakistan",2003,2019,218,216,85,85,85,0,0,2
"85","NJ Astle ","New Zealand",1995,2007,223,219,83,83,83,0,0,3
"86","EJG Morgan (ENG/IRE)",NA,2006,2020,236,230,83,83,80,3,0,3
"87","GC Wilson ","Ireland",2007,2019,105,101,83,73,24,49,10,4
"88","JP Duminy ","South Africa",2004,2019,199,195,82,82,82,0,0,3
"89","A Symonds ","Australia",1998,2009,198,196,82,82,82,0,0,4
"90","F du Plessis ","South Africa",2011,2019,143,141,81,81,81,0,0,3
"91","Saleem Malik ","Pakistan",1982,1999,283,277,81,81,80,1,0,4
"92","SK Warne (AUS/ICC)",NA,1993,2005,194,193,80,80,80,0,0,3
"93","UDU Chandana ","Sri Lanka",1994,2007,147,146,79,79,79,0,0,3
"94","MJ Prior ","England",2004,2011,68,68,79,71,2,69,8,6
"95","RG Sharma ","India",2007,2020,224,223,77,77,77,0,0,3
"96","ADR Campbell ","Zimbabwe",1992,2003,188,187,76,76,74,2,0,3
"97","MH Cross ","Scotland",2014,2019,52,51,75,71,0,71,4,6
"98","RB Richardson ","West Indies",1983,1996,224,222,75,75,75,0,0,4
"99","JE Root ","England",2013,2020,146,142,74,74,74,0,0,3
"100","JC Adams ","West Indies",1992,2001,127,127,73,68,42,26,5,5
"101","DJ Bravo ","West Indies",2004,2014,164,161,73,73,73,0,0,3
"102","S Chanderpaul ","West Indies",1994,2011,268,264,73,73,73,0,0,2
"103","WJ Cronje ","South Africa",1992,2000,188,186,73,73,73,0,0,2
"104","Javed Miandad ","Pakistan",1975,1996,233,229,73,71,70,1,2,3
